t;U;U
[s];[V];[V]

6,220;0,07;-0,05
6,230;0,07;-0,05
6,240;0,07;-0,05
6,250;0,08;-0,05
6,260;0,08;-0,05
6,270;0,08;-0,05
6,280;0,08;-0,06
6,290;0,08;-0,06
6,300;0,09;-0,06
6,310;0,09;-0,06
6,320;0,09;-0,06
6,330;0,09;-0,06
6,340;0,10;-0,07
6,350;0,10;-0,07
6,360;0,10;-0,07
6,370;0,10;-0,07
6,380;0,10;-0,07
6,390;0,10;-0,07
6,400;0,10;-0,07
6,410;0,10;-0,07
6,420;0,10;-0,07
6,430;0,10;-0,07
6,440;0,10;-0,07
6,450;0,10;-0,07
6,460;0,10;-0,06
6,470;0,10;-0,06
6,480;0,10;-0,06
6,490;0,10;-0,06
6,500;0,10;-0,06
6,510;0,10;-0,07
6,520;0,10;-0,07
6,530;0,09;-0,07
6,540;0,09;-0,06
6,550;0,09;-0,06
6,560;0,09;-0,06
6,570;0,09;-0,06
6,580;0,09;-0,06
6,590;0,09;-0,06
6,600;0,09;-0,06
6,610;0,08;-0,05
6,620;0,08;-0,05
6,630;0,08;-0,05
6,640;0,08;-0,05
6,650;0,08;-0,05
6,660;0,07;-0,05
6,670;0,07;-0,05
6,680;0,07;-0,04
6,690;0,07;-0,04
6,700;0,06;-0,04
6,710;0,06;-0,04
6,720;0,06;-0,04
6,730;0,06;-0,03
6,740;0,05;-0,03
6,750;0,05;-0,03
6,760;0,05;-0,03
6,770;0,05;-0,03
6,780;0,04;-0,02
6,790;0,04;-0,02
6,800;0,04;-0,02
6,810;0,03;-0,02
6,820;0,03;-0,02
6,830;0,03;-0,01
6,840;0,03;-0,01
6,850;0,02;-0,01
6,860;0,02;-0,01
6,870;0,01;-0,01
6,880;0,01;-0,00
6,890;0,01;-0,00
6,900;0,00;0,00
6,910;0,00;0,00
6,920;-0,00;0,01
6,930;-0,01;0,01
6,940;-0,01;0,01
6,950;-0,01;0,01
6,960;-0,02;0,02
6,970;-0,02;0,02
6,980;-0,02;0,02
6,990;-0,02;0,02
7,000;-0,03;0,03
7,010;-0,03;0,03
7,020;-0,03;0,03
7,030;-0,03;0,03
7,040;-0,04;0,04
7,050;-0,04;0,04
7,060;-0,04;0,04
7,070;-0,04;0,04
7,080;-0,05;0,04
7,090;-0,05;0,05
7,100;-0,05;0,05
7,110;-0,05;0,05
7,120;-0,05;0,05
7,130;-0,06;0,05
7,140;-0,06;0,06
7,150;-0,06;0,06
7,160;-0,06;0,06
7,170;-0,06;0,06
7,180;-0,07;0,06
7,190;-0,07;0,06
7,200;-0,07;0,06
7,210;-0,07;0,06
7,220;-0,07;0,06
7,230;-0,07;0,06
7,240;-0,07;0,06
7,250;-0,07;0,06
7,260;-0,07;0,06
7,270;-0,08;0,06
7,280;-0,08;0,07
7,290;-0,08;0,07
7,300;-0,08;0,07
7,310;-0,08;0,06
7,320;-0,08;0,06
7,330;-0,08;0,06
7,340;-0,08;0,06
7,350;-0,08;0,06
7,360;-0,08;0,06
7,370;-0,08;0,06
7,380;-0,08;0,06
7,390;-0,08;0,06
7,400;-0,08;0,06
7,410;-0,08;0,06
7,420;-0,08;0,06
7,430;-0,08;0,06
7,440;-0,08;0,06
7,450;-0,08;0,05
7,460;-0,08;0,05
7,470;-0,08;0,05
7,480;-0,07;0,05
7,490;-0,07;0,05
7,500;-0,07;0,05
7,510;-0,07;0,05
7,520;-0,07;0,04
7,530;-0,07;0,04
7,540;-0,06;0,04
7,550;-0,06;0,04
7,560;-0,06;0,04
7,570;-0,06;0,04
7,580;-0,05;0,03
7,590;-0,05;0,03
7,600;-0,05;0,03
7,610;-0,05;0,03
7,620;-0,05;0,03
7,630;-0,04;0,02
7,640;-0,04;0,02
7,650;-0,04;0,02
7,660;-0,03;0,02
7,670;-0,03;0,01
7,680;-0,03;0,01
7,690;-0,02;0,01
7,700;-0,02;0,01
7,710;-0,02;0,01
7,720;-0,01;0,00
7,730;-0,01;0,00
7,740;-0,01;-0,00
7,750;-0,00;-0,00
7,760;0,00;-0,00
7,770;0,01;-0,01
7,780;0,01;-0,01
7,790;0,01;-0,01
7,800;0,02;-0,01
7,810;0,02;-0,02
7,820;0,03;-0,02
7,830;0,03;-0,02
7,840;0,03;-0,02
7,850;0,04;-0,03
7,860;0,04;-0,03
7,870;0,04;-0,03
7,880;0,04;-0,03
7,890;0,05;-0,03
7,900;0,05;-0,04
7,910;0,05;-0,04
7,920;0,06;-0,04
7,930;0,06;-0,04
7,940;0,06;-0,05
7,950;0,06;-0,05
7,960;0,07;-0,05
7,970;0,07;-0,05
7,980;0,07;-0,05
7,990;0,07;-0,06
8,000;0,08;-0,06
8,010;0,08;-0,06
8,020;0,08;-0,06
8,030;0,08;-0,06
8,040;0,08;-0,06
8,050;0,09;-0,06
8,060;0,09;-0,06
8,070;0,09;-0,06
8,080;0,09;-0,07
8,090;0,09;-0,07
8,100;0,09;-0,07
8,110;0,09;-0,07
8,120;0,09;-0,07
8,130;0,10;-0,07
8,140;0,10;-0,07
8,150;0,10;-0,07
8,160;0,10;-0,07
8,170;0,10;-0,07
8,180;0,10;-0,07
8,190;0,10;-0,07
8,200;0,10;-0,07
8,210;0,10;-0,07
8,220;0,10;-0,07
8,230;0,10;-0,07
8,240;0,10;-0,06
8,250;0,10;-0,06
8,260;0,10;-0,06
8,270;0,10;-0,06
8,280;0,10;-0,06
8,290;0,10;-0,06
8,300;0,10;-0,06
8,310;0,10;-0,06
8,320;0,10;-0,06
8,330;0,10;-0,06
8,340;0,10;-0,06
8,350;0,10;-0,05
8,360;0,10;-0,05
8,370;0,10;-0,05
8,380;0,10;-0,05
8,390;0,09;-0,05
8,400;0,09;-0,05
8,410;0,09;-0,04
8,420;0,09;-0,04
8,430;0,09;-0,04
8,440;0,08;-0,04
8,450;0,08;-0,04
8,460;0,08;-0,04
8,470;0,07;-0,03
8,480;0,07;-0,03
8,490;0,07;-0,03
8,500;0,07;-0,03
8,510;0,06;-0,03
8,520;0,06;-0,02
8,530;0,06;-0,02
8,540;0,05;-0,02
8,550;0,05;-0,02
8,560;0,05;-0,02
8,570;0,04;-0,01
8,580;0,04;-0,01
8,590;0,04;-0,01
8,600;0,04;-0,01
8,610;0,03;-0,00
8,620;0,03;-0,00
8,630;0,03;0,00
8,640;0,03;0,00
8,650;0,02;0,01
8,660;0,02;0,01
8,670;0,01;0,01
8,680;0,01;0,01
8,690;0,01;0,01
8,700;0,00;0,02
8,710;-0,00;0,02
8,720;-0,00;0,02
8,730;-0,01;0,02
8,740;-0,01;0,03
8,750;-0,01;0,03
8,760;-0,01;0,03
8,770;-0,02;0,03
8,780;-0,02;0,03
8,790;-0,02;0,04
8,800;-0,02;0,04
8,810;-0,03;0,04
8,820;-0,03;0,04
8,830;-0,03;0,04
8,840;-0,03;0,04
8,850;-0,03;0,05
8,860;-0,04;0,05
8,870;-0,04;0,05
8,880;-0,04;0,05
8,890;-0,04;0,05
8,900;-0,04;0,05
8,910;-0,05;0,05
8,920;-0,05;0,06
8,930;-0,05;0,06
8,940;-0,05;0,06
8,950;-0,05;0,06
8,960;-0,05;0,06
8,970;-0,05;0,06
8,980;-0,05;0,06
8,990;-0,05;0,06
9,000;-0,05;0,06
9,010;-0,06;0,06
9,020;-0,06;0,06
9,030;-0,06;0,06
9,040;-0,06;0,06
9,050;-0,06;0,06
9,060;-0,06;0,06
9,070;-0,06;0,06
9,080;-0,06;0,06
9,090;-0,06;0,06
9,100;-0,06;0,06
9,110;-0,06;0,06
9,120;-0,06;0,06
9,130;-0,06;0,06
9,140;-0,06;0,06
9,150;-0,06;0,06
9,160;-0,06;0,06
9,170;-0,06;0,05
9,180;-0,06;0,05
9,190;-0,06;0,05
9,200;-0,06;0,05
9,210;-0,06;0,05
9,220;-0,06;0,05
9,230;-0,06;0,05
9,240;-0,06;0,04
9,250;-0,05;0,04
9,260;-0,05;0,04
9,270;-0,05;0,04
9,280;-0,05;0,04
9,290;-0,05;0,04
9,300;-0,05;0,04
9,310;-0,05;0,03
9,320;-0,05;0,03
9,330;-0,05;0,03
9,340;-0,04;0,03
9,350;-0,04;0,02
9,360;-0,04;0,02
9,370;-0,04;0,02
9,380;-0,03;0,02
9,390;-0,03;0,02
9,400;-0,03;0,02
9,410;-0,03;0,01
9,420;-0,02;0,01
9,430;-0,02;0,01
9,440;-0,02;0,01
9,450;-0,02;0,01
9,460;-0,01;0,00
9,470;-0,01;0,00
9,480;-0,01;-0,00
9,490;-0,01;-0,00
9,500;-0,00;-0,01
9,510;-0,00;-0,01
9,520;0,00;-0,01
